"Time"	csiR	csiD	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA
4950	0.6200282	0.4313539	0.7052816	0.5740905	0.8203931	0.6309512	0.0644082	0.2716288	0.5622434	0.6833167
5000	0.8569989	0.4992538	0.6419115	0.6740130	0.5705448	0.6668552	0.0773650	0.2614052	0.5675023	0.7632947
5050	0.5771846	0.2033096	0.4326976	0.5083549	0.5308041	0.3601798	0.6359847	0.3921972	0.5830903	0.6721357
5100	0.7009134	0.0415122	0.2098977	0.3835117	0.4118737	0.3154701	0.6928420	0.2954260	0.5458139	0.6598586
5150	0.7506672	0.0624119	0.1649155	0.2287233	0.3277417	0.2134091	0.7182062	0.3293760	0.5886832	0.6644503
5200	0.7396891	0.0358259	0.1487418	0.2438773	0.4606956	0.1848119	0.6147741	0.2367604	0.4469087	0.8628901
5250	0.6600541	0.0472607	0.1430605	0.2116258	0.3380828	0.2414230	0.7160662	0.3463600	0.5619754	0.6943382
5300	0.7190299	0.0503571	0.1324395	0.0784413	0.2019352	0.2151411	0.7387804	0.3554816	0.8025799	0.6910180
5350	0.8177020	0.0455205	0.1233658	0.1025582	0.2609502	0.1971668	0.6492207	0.3470322	0.6276784	0.6362188
5400	0.7692485	0.0587266	0.1539519	0.0779085	0.2381704	0.2030623	0.6446745	0.2293251	0.5354676	0.7429640
5450	0.7179816	0.0309117	0.1212976	0.0406848	0.2835558	0.2119363	0.7368784	0.3742685	0.7069493	0.7368942
5500	0.6921977	0.0265556	0.1372719	0.0909437	0.2564181	0.1660902	0.7944497	0.3346218	0.5961292	0.6528998
5550	0.7681356	0.0285733	0.1874741	0.0632706	0.2808543	0.2081537	0.8061282	0.2308351	0.6876577	0.7584493
5600	0.6121529	0.0439158	0.1548160	0.1119493	0.2438503	0.2291280	0.7439382	0.3246249	0.5196406	0.6704343
5650	0.7569108	0.0292756	0.1356502	0.0668612	0.2432603	0.1512547	0.6577654	0.2995963	0.5785117	0.5680296
5700	0.5265342	0.0347947	0.1903350	0.0835963	0.2016156	0.2232270	0.5968944	0.3346505	0.5513269	0.6201125
5750	0.7245231	0.0292754	0.1381750	0.1262929	0.2311565	0.1809950	0.6685474	0.2193102	0.6246928	0.6905861
5800	0.7403402	0.0772916	0.1293390	0.1129000	0.1991928	0.2430254	0.7207054	0.2529155	0.6291240	0.7680547
5850	0.7111864	0.0301100	0.1182165	0.1505318	0.3414295	0.2306856	0.6651214	0.3157974	0.6779441	0.7594750
5900	0.8078988	0.0224521	0.1646160	0.1309393	0.3163222	0.2098362	0.7999853	0.3053121	0.5918865	0.7250887
5950	0.6716845	0.0303063	0.1434644	0.1252894	0.2939577	0.2422507	0.7431032	0.2801201	0.6894563	0.6167735
6000	0.7957441	0.0521666	0.1465953	0.1725452	0.3152846	0.1817228	0.6690882	0.4216577	0.6929958	0.6834563
6050	0.6788990	0.0159661	0.2074825	0.1344162	0.4079520	0.2109367	0.7124941	0.4205841	0.6169444	0.7280162
6100	0.8612722	0.0400049	0.1897441	0.1510531	0.4286038	0.1528970	0.6825144	0.3283820	0.5654752	0.5791987
6150	0.6252794	0.0271479	0.1809670	0.1389666	0.3252446	0.2083108	0.7166281	0.3076723	0.6424542	0.6949894
6200	0.7001700	0.0192044	0.1633202	0.0884455	0.2801562	0.2403068	0.6682779	0.2193512	0.6613570	0.7116449
6250	0.8674744	0.0392475	0.1125112	0.0918038	0.3589338	0.1823484	0.6218783	0.3023941	0.6664348	0.6783100
6300	0.6222035	0.0458764	0.1237492	0.0660040	0.2924248	0.2666252	0.7041748	0.3907628	0.6875481	0.6809540
6350	0.6579920	0.0209115	0.1541240	0.0834614	0.2382060	0.1663083	0.6772494	0.3527114	0.6563170	0.7442734
6400	0.6590540	0.0216273	0.2396126	0.1543998	0.2998050	0.2237249	0.8014627	0.3890326	0.5087429	0.7537014
6450	0.6663016	0.0391064	0.1828278	0.1704649	0.4212060	0.1699544	0.6991869	0.3790741	0.6098715	0.6698397
6500	0.5409898	0.0344211	0.1963225	0.1900784	0.2871678	0.1930980	0.5823926	0.2669032	0.5371559	0.6737024
6550	0.6137820	0.0255436	0.1891955	0.1446113	0.3242483	0.1475380	0.7900701	0.2494753	0.7237742	0.6816162
6600	0.5606623	0.0857017	0.1847533	0.1588016	0.3069948	0.1822587	0.6256176	0.2686963	0.7672803	0.6631617
6650	0.6028342	0.0292624	0.1715244	0.1230741	0.3463731	0.2219518	0.7396607	0.2719770	0.6152030	0.7236417
6700	0.6398085	0.0192684	0.1221617	0.0813985	0.2478506	0.1925634	0.6279085	0.3367147	0.6501507	0.6762979
6750	0.7189439	0.0358971	0.1278612	0.1294112	0.4332024	0.2156087	0.6688624	0.2001566	0.6532962	0.6467641
6800	0.7518810	0.0211025	0.1345350	0.0819788	0.2109319	0.2995529	0.6998624	0.3198912	0.5089039	0.6986373
6850	0.5459203	0.0318832	0.1519759	0.1175220	0.2702620	0.2595585	0.6043761	0.2414161	0.5990370	0.7975126
6900	0.7394886	0.0306037	0.0965943	0.0569165	0.2877311	0.1866695	0.7964002	0.2517793	0.6482938	0.7763878
6950	0.7378716	0.0502544	0.1885256	0.0613446	0.1980418	0.2041860	0.6882057	0.2329572	0.6554899	0.5911553
7000	0.7173138	0.0403645	0.1622625	0.0931864	0.2750138	0.2093699	0.7123186	0.3612853	0.6768066	0.6351100
7050	0.7229180	0.0237323	0.1176988	0.0993786	0.2917251	0.1441693	0.7215886	0.3488388	0.7488374	0.6922066
7100	0.8343511	0.0324997	0.1851631	0.1176414	0.2993602	0.1878531	0.6120425	0.3147788	0.5890530	0.5785274
7150	0.6793861	0.0170641	0.1588412	0.0918973	0.2903494	0.1622486	0.7568663	0.2594514	0.6690266	0.7043416
7200	0.7520383	0.0322639	0.1611959	0.1374601	0.2888492	0.2450857	0.7274710	0.2467670	0.6836211	0.6144484
7250	0.7176684	0.0432490	0.1768795	0.1008080	0.3279458	0.2125075	0.6831332	0.3852001	0.4972757	0.6563925
7300	0.6343918	0.0523823	0.1873002	0.1333943	0.2908515	0.2199064	0.7370444	0.3241704	0.6044461	0.6685786
7350	0.6651263	0.0378300	0.1975558	0.1053340	0.2174458	0.2951106	0.7677035	0.3011173	0.5869164	0.6005448
7400	0.8040551	0.0541054	0.1641953	0.1431917	0.3904373	0.1737018	0.7025792	0.3297064	0.6414151	0.6853197
7450	0.7196132	0.0692595	0.1866979	0.1304678	0.3460591	0.3238155	0.6397735	0.2885564	0.5002619	0.7196234
7500	0.6714279	0.0468341	0.1556607	0.0838691	0.3089724	0.2369530	0.6499792	0.1976866	0.5556104	0.7775517
7550	0.7419501	0.0236477	0.1328015	0.1003605	0.3284307	0.2503917	0.6703661	0.2456858	0.5711741	0.7009399
7600	0.8228353	0.0382168	0.1513411	0.0860901	0.3234712	0.2332922	0.7686759	0.2931122	0.5161065	0.6448891
7650	0.6606636	0.0177008	0.1489937	0.0846675	0.3209520	0.1918156	0.7084621	0.2813364	0.6800326	0.7371135
7700	0.7581375	0.0271137	0.2132666	0.1281707	0.3065430	0.1945817	0.6852583	0.2877830	0.6066850	0.6685781
7750	0.8351776	0.0267185	0.1546891	0.1127240	0.3177977	0.2677410	0.7055116	0.2777793	0.6685790	0.7416248
7800	0.8819416	0.0418027	0.1677729	0.1192760	0.3143190	0.2752572	0.7355392	0.2469962	0.6331605	0.8451683
7850	0.8076613	0.0237746	0.1586900	0.1820213	0.2829005	0.2232025	0.7221458	0.3669471	0.7237585	0.7280205
7900	0.6815153	0.0766313	0.1660567	0.1057335	0.3695531	0.2140844	0.7541578	0.3080515	0.6718442	0.5882967
7950	0.7636065	0.0479568	0.1431881	0.0910317	0.2367936	0.2047677	0.6828322	0.3263912	0.6629390	0.6397138
8000	0.8180099	0.0267860	0.1462060	0.0599464	0.2825768	0.2581016	0.6741448	0.2076767	0.5639232	0.6959177
8050	0.8061742	0.0332961	0.1632219	0.1029133	0.3235699	0.2426549	0.6873395	0.3678170	0.6600143	0.7723611
8100	0.5946157	0.0568895	0.1775059	0.0689847	0.2454708	0.2227514	0.6987409	0.3260702	0.6192267	0.7575174
8150	0.6057678	0.0201250	0.2460407	0.1259876	0.2289432	0.1934325	0.6020400	0.2308744	0.7288061	0.8393182
8200	0.6200913	0.0445806	0.1525051	0.1168940	0.2377944	0.1611767	0.6757476	0.3754881	0.7628867	0.5433125
8250	0.6832234	0.0466161	0.1658604	0.1726595	0.2353485	0.2259656	0.6816115	0.3061787	0.7698079	0.6788798
8300	0.7239368	0.0186706	0.2214900	0.1305816	0.3106657	0.1433964	0.5414352	0.2810940	0.7259626	0.5486995
8350	0.5848248	0.0338278	0.2272692	0.1413688	0.3374021	0.2165594	0.7485995	0.2895015	0.6449476	0.8175992
8400	0.5782029	0.0237160	0.1108687	0.0861876	0.3519123	0.2382901	0.8054842	0.3756341	0.6092428	0.7577917
8450	0.7510953	0.0468794	0.1700770	0.0441411	0.1596281	0.2368911	0.6905879	0.4109140	0.6322657	0.6734331
8500	0.7421291	0.0496002	0.1360823	0.1298043	0.2214845	0.2100783	0.6865810	0.3203557	0.6860706	0.7039279
8550	0.8010080	0.0353072	0.3265578	0.0666675	0.2604304	0.1848983	0.7824593	0.3635153	0.5673819	0.5866124
8600	0.8169247	0.0632226	0.1657571	0.0670698	0.2694832	0.1538292	0.6840704	0.3739524	0.5983296	0.6181421
8650	0.6633835	0.0507364	0.1974013	0.0871408	0.2598592	0.1808887	0.7867622	0.3217753	0.7179221	0.6254821
8700	0.7824986	0.0441493	0.1930672	0.1266762	0.3178768	0.2100031	0.6317365	0.2746903	0.7006682	0.7215991
8750	0.7846947	0.0556060	0.1148672	0.1225841	0.2282566	0.2022815	0.8038793	0.3804275	0.7271279	0.6553751
8800	0.7252915	0.0325797	0.1129593	0.1013679	0.2680430	0.1964180	0.7233363	0.3804219	0.6078584	0.6708649
8850	0.5881185	0.0359251	0.1350719	0.1221616	0.2623588	0.2650078	0.6738284	0.3650573	0.7090572	0.7865569
8900	0.7234981	0.0427723	0.2155884	0.1400053	0.3054441	0.2580674	0.6846765	0.3315219	0.6535289	0.7233588
8950	0.7055490	0.0394848	0.1532377	0.1961940	0.3340162	0.2421729	0.7950799	0.3466388	0.7485527	0.7016821
9000	0.7492912	0.0289415	0.1379389	0.1438558	0.3368111	0.1841018	0.7306837	0.3079577	0.6615784	0.6647822
9050	0.8413574	0.0309827	0.1543816	0.1084345	0.2698627	0.2095247	0.6455084	0.3017756	0.6621167	0.6340788
9100	0.8641571	0.0335554	0.1458706	0.1266894	0.2715721	0.1940676	0.6446648	0.2249349	0.6621430	0.7531981
9150	0.7477731	0.0431173	0.1247468	0.1127959	0.2654719	0.2043758	0.8115131	0.3257902	0.5845800	0.8000253
9200	0.7535234	0.0194283	0.1300269	0.0932207	0.2754956	0.1898870	0.8024979	0.3023796	0.5414349	0.6603338
9250	0.7069136	0.0282923	0.2182371	0.0509206	0.2497656	0.2571989	0.6288746	0.2179110	0.6746754	0.7173472
9300	0.8061025	0.0270585	0.1623020	0.0756489	0.1868774	0.1837063	0.7547322	0.3534780	0.6827449	0.8443427
9350	0.8697955	0.0244840	0.2284469	0.0864898	0.2168524	0.2357823	0.7050447	0.3847517	0.8254109	0.7490668
9400	0.7179726	0.0437537	0.1657595	0.1228874	0.2212445	0.2345354	0.7651025	0.3083550	0.7139371	0.7813174
9450	0.7869356	0.0274981	0.1997906	0.0793465	0.2716111	0.1783846	0.5837797	0.4064461	0.5805512	0.7435928
9500	0.6437942	0.0328020	0.1743962	0.1428626	0.2896204	0.2493628	0.8613121	0.3221885	0.6925761	0.6297673
9550	0.7099109	0.0580753	0.1667052	0.1437750	0.2664699	0.1730491	0.8004579	0.3109644	0.6958335	0.6747097
9600	0.7424502	0.0271046	0.2635155	0.1073274	0.2811942	0.2246639	0.8459932	0.4057077	0.6302709	0.7067640
9650	0.7411903	0.0224278	0.1541091	0.2345509	0.2658839	0.1805422	0.5621550	0.3752312	0.6131707	0.6516035
9700	0.7064478	0.0397356	0.2356841	0.1539181	0.2605289	0.1613176	0.7603498	0.3266322	0.6394258	0.7624909
9750	0.6625022	0.0405002	0.2335111	0.1799068	0.3539398	0.1825852	0.6849184	0.3327322	0.5636852	0.7066035
9800	0.6647929	0.0370574	0.1555253	0.1711340	0.2799048	0.2046815	0.5929044	0.3154929	0.6194962	0.7505284
9850	0.6473533	0.0484221	0.1835782	0.1231716	0.2593345	0.2897431	0.6824678	0.4056946	0.6074008	0.7460282
9900	0.7251857	0.0437047	0.1536779	0.0823844	0.2987236	0.2039045	0.6319189	0.3116191	0.6075443	0.7144804
9950	0.5643721	0.0467144	0.1894539	0.1005015	0.3170227	0.2461401	0.7320914	0.3471744	0.7082720	0.7804741
10000	0.7785472	0.0333228	0.1689080	0.1182969	0.3125357	0.1746690	0.5413645	0.2258787	0.5806650	0.7518777

0	0.6508536	0.0565603	0.2019305	0.1061690	0.3159231	0.1993452	0.6450260	0.3165829	0.7113733	0.6232992
50	0.4196738	0.1493010	0.1846308	0.1432402	0.3363452	0.6108923	0.0676041	0.2899083	0.6355102	0.7201023
100	0.4283600	0.2919006	0.1414600	0.1802301	0.2681004	0.6142620	0.0098267	0.4304503	0.5411612	0.6213654
150	0.5101601	0.2476861	0.1999702	0.2262121	0.2919319	0.7565842	0.0045362	0.3423895	0.6441781	0.6416620
200	0.4572325	0.2203767	0.1345460	0.1552421	0.2806275	0.7401595	0.0302993	0.3557905	0.6392361	0.6565400
250	0.6233787	0.2157954	0.1694468	0.1665324	0.2373259	0.6802251	0.0101857	0.3246310	0.6036747	0.6557211
300	0.4386875	0.1853230	0.2144580	0.1065853	0.2503982	0.7440019	0.0167286	0.3605356	0.6214744	0.6995588
350	0.4303828	0.2122935	0.1369565	0.1148559	0.2858980	0.6769162	0.0262565	0.3441654	0.6377591	0.6306525
400	0.4562477	0.2413416	0.1374033	0.2002065	0.2458578	0.8552909	0.0065915	0.3363292	0.6525710	0.6092038
450	0.3716781	0.1804388	0.1649283	0.2114146	0.3035525	0.7280624	0.0169514	0.3167063	0.4747810	0.7445676
500	0.3799858	0.2691023	0.2178813	0.1843609	0.3065676	0.7271191	0.0132919	0.2969511	0.6039684	0.5811568
550	0.4152939	0.2421870	0.1391770	0.2806760	0.2602840	0.6606920	0.0029809	0.4436486	0.6534721	0.6571039
600	0.5192006	0.2586084	0.1331122	0.1495399	0.2362332	0.6900101	0.0235439	0.2902978	0.6220353	0.6430156
650	0.4539365	0.2951232	0.1434411	0.2074491	0.2720624	0.6534200	0.0158025	0.2920930	0.5840501	0.7156587
700	0.4367325	0.2344263	0.1431915	0.2254878	0.2486314	0.6305701	0.0083766	0.3598640	0.6192565	0.6601234
750	0.4166397	0.2644059	0.1670755	0.1778727	0.2720339	0.7411519	0.0576365	0.3545114	0.6303347	0.7404238
800	0.4461496	0.2350677	0.1729277	0.1797229	0.2995526	0.8167184	0.0072906	0.2860908	0.6489343	0.5992414
850	0.5614520	0.2606214	0.2052635	0.1559294	0.2260536	0.7538659	0.0212752	0.3313837	0.5197081	0.6575737
900	0.5212968	0.2597896	0.1886212	0.1597736	0.3199969	0.8107588	0.0122565	0.3523305	0.6157234	0.8068845
950	0.4865793	0.2768510	0.2292507	0.1289734	0.2913376	0.6993032	0.0262123	0.2427040	0.5908229	0.6308707
1000	0.5235301	0.2311174	0.1813540	0.1435727	0.2239242	0.6175325	0.0158089	0.3681764	0.6966480	0.7404472
1050	0.4224210	0.2627583	0.1698743	0.1838333	0.2802245	0.7608206	0.0293166	0.2822405	0.5620676	0.7641116
1100	0.5046287	0.2416157	0.1794665	0.1845130	0.2633799	0.6854933	0.0125298	0.2369635	0.5997925	0.8411443
1150	0.4190880	0.2930783	0.2095960	0.1521143	0.2664708	0.6010876	0.0191448	0.3333417	0.6992952	0.7032982
1200	0.4258572	0.2051245	0.1769384	0.1528050	0.2531080	0.6776558	0.0056257	0.4266655	0.6140191	0.6930880
1250	0.5361549	0.2083533	0.1542522	0.1461459	0.3328102	0.6548404	0.0098635	0.2764643	0.6260713	0.7409987
1300	0.6417264	0.2449163	0.1575281	0.1518933	0.1997965	0.6783507	0.0158986	0.2736769	0.5075739	0.6476740
1350	0.4918877	0.2121883	0.1528988	0.1383073	0.3049151	0.6159071	0.0075069	0.3063863	0.6587299	0.6404747
1400	0.4098663	0.2280820	0.1723650	0.1686439	0.1648679	0.6577897	0.0088373	0.3142744	0.5809989	0.5692494
1450	0.4634427	0.2086698	0.2399106	0.1654081	0.3335437	0.7834837	0.0083340	0.2904087	0.5999283	0.7497901
1500	0.5575598	0.3399972	0.0741913	0.1665796	0.2832090	0.6756180	0.0112011	0.2568036	0.5605833	0.6831529
1550	0.4007969	0.2304002	0.1389870	0.1583591	0.3771915	0.6252605	0.0179037	0.2791421	0.5865075	0.6913222
1600	0.5719673	0.2323984	0.1819912	0.2273522	0.3342792	0.6144462	0.0084583	0.4068818	0.6237161	0.6912730
1650	0.5097999	0.1764051	0.1763553	0.1563175	0.2565175	0.6345548	0.0087884	0.3505979	0.7156398	0.7418934
1700	0.3588751	0.2157083	0.0988868	0.1485686	0.2515913	0.6427598	0.0035100	0.2930237	0.5322033	0.6388029
1750	0.5045367	0.2159466	0.1964758	0.1833766	0.2350869	0.6477264	0.0240925	0.3717811	0.6820903	0.7823353
1800	0.3925360	0.2210514	0.1689732	0.1345288	0.2988333	0.6338126	0.0158467	0.2997641	0.7074518	0.6040354
1850	0.4920357	0.2275463	0.1587845	0.1650837	0.2711076	0.7200356	0.0101253	0.2334142	0.6536609	0.6039217
1900	0.5429554	0.2078408	0.1999896	0.1688480	0.2959799	0.6305048	0.0247402	0.3750073	0.5889108	0.6540368
1950	0.5008903	0.1818118	0.1552197	0.2046195	0.2348500	0.7448939	0.0189417	0.3007060	0.6937448	0.6999792
2000	0.4869138	0.3271928	0.2086575	0.1462926	0.3079469	0.6518638	0.0128499	0.3426189	0.6703525	0.7616031
2050	0.4607691	0.2626489	0.1288239	0.1518119	0.2621156	0.6262160	0.0085721	0.3522417	0.6628992	0.6205879
2100	0.3934293	0.2027063	0.1771708	0.1909013	0.2684427	0.7187304	0.0140243	0.3757126	0.5057415	0.6532845
2150	0.3913107	0.2689479	0.1662790	0.2061039	0.3162516	0.7170582	0.0084973	0.3391968	0.5920833	0.8073296
2200	0.4539629	0.2297809	0.1543649	0.1981013	0.2674410	0.6767928	0.0027369	0.3262703	0.5000356	0.6718664
2250	0.4816849	0.1659975	0.1591827	0.1388183	0.2856016	0.6742719	0.0372313	0.2853954	0.5970789	0.7687458
2300	0.4348504	0.2525686	0.1226640	0.1742520	0.3033217	0.5635077	0.0061439	0.3060838	0.5975306	0.6084232
2350	0.5153688	0.2275245	0.1772034	0.2507003	0.2493621	0.6461900	0.0090218	0.2677177	0.6532826	0.7197486
2400	0.5465177	0.2356849	0.1382589	0.1300162	0.2418165	0.5976058	0.0180518	0.3269904	0.7357114	0.6617750
2450	0.5781136	0.2530667	0.1368472	0.1330802	0.2703503	0.7904308	0.0117747	0.3022971	0.6651400	0.5482204
2500	0.4994624	0.1792803	0.1170084	0.1693882	0.2837388	0.7590700	0.0135059	0.3453419	0.6689995	0.8376044
2550	0.4625252	0.2734708	0.1660032	0.1734511	0.3228495	0.7310138	0.0115177	0.3596041	0.6346517	0.7361506
2600	0.4548601	0.2644033	0.1850746	0.1787596	0.2783207	0.7440564	0.0196179	0.2921701	0.6525946	0.6281523
2650	0.4143584	0.2151019	0.1264805	0.1761580	0.2842141	0.8113184	0.0110249	0.3331607	0.7204878	0.6920365
2700	0.4614396	0.2003644	0.1637404	0.1422450	0.3496067	0.6200620	0.0042594	0.3769985	0.7820423	0.7501533
2750	0.5353657	0.1881243	0.1175325	0.1793369	0.3405435	0.6254999	0.0076377	0.3124843	0.5814733	0.6638149
2800	0.5236895	0.2343620	0.1304882	0.1764161	0.2222233	0.7164423	0.0146847	0.3137198	0.6296161	0.7525227
2850	0.4929479	0.2771708	0.1281655	0.1708324	0.2412491	0.6148773	0.0063773	0.2956806	0.7884058	0.8961842
2900	0.4434020	0.2578408	0.1418643	0.1658114	0.3030597	0.6263971	0.0105343	0.3142147	0.6900769	0.7504502
2950	0.4599650	0.1953230	0.1257982	0.2365334	0.4140767	0.6605610	0.0062822	0.3157679	0.6045350	0.7161488
3000	0.4373446	0.2765009	0.1861983	0.2931926	0.3209049	0.6809737	0.0216581	0.3495931	0.8011372	0.7699662
3050	0.4733514	0.2302505	0.1066446	0.1858580	0.2929099	0.5423798	0.0165352	0.3529543	0.6221448	0.8450691
3100	0.4342665	0.1986555	0.1239867	0.1649896	0.2379445	0.5732734	0.0121154	0.2703841	0.5935540	0.8148290
3150	0.4742701	0.2173958	0.1448229	0.1647510	0.2847690	0.5903871	0.0049910	0.4322787	0.6447355	0.6175444
3200	0.3732207	0.1607824	0.2303040	0.1667611	0.2942189	0.6074395	0.0062686	0.2303348	0.6480197	0.7562241
3250	0.4186502	0.3008098	0.1991096	0.1674223	0.2676551	0.8679346	0.0110472	0.2765296	0.6454783	0.7066856
3300	0.4592853	0.2812421	0.1467505	0.1661246	0.2929159	0.7104385	0.0120906	0.2924333	0.5131830	0.6458049
3350	0.4205797	0.3066084	0.1226516	0.2044390	0.3292712	0.7390465	0.0313398	0.2425080	0.5524568	0.7219234
3400	0.3786336	0.2147043	0.0915567	0.1135547	0.3018296	0.7664834	0.0125128	0.2355634	0.6222900	0.7176579
3450	0.4474732	0.1989819	0.1421114	0.1346405	0.2636642	0.6349006	0.0096324	0.2844459	0.6219634	0.7145068
3500	0.5006077	0.2752861	0.0725585	0.1806203	0.2729997	0.7882169	0.0035862	0.2318401	0.5532560	0.6254126
3550	0.4734627	0.1670452	0.1114614	0.1397197	0.2401223	0.6292910	0.0185722	0.3713923	0.6684916	0.7385602
3600	0.4439703	0.2711245	0.1193459	0.1305853	0.3178439	0.6605503	0.0131358	0.2937267	0.6755627	0.5572366
3650	0.4553393	0.2681174	0.1059452	0.1255730	0.2248770	0.7232994	0.0148725	0.3263294	0.6880088	0.5943840
3700	0.4456272	0.2338849	0.1702526	0.1550510	0.2636773	0.6691355	0.0203562	0.3112598	0.7151897	0.7111033
3750	0.4309639	0.1872900	0.1879682	0.1465841	0.2744459	0.6773640	0.0290446	0.3335542	0.6195584	0.7355147
3800	0.6153177	0.2867964	0.1524674	0.2220700	0.3034231	0.8109366	0.0049199	0.3625507	0.6823596	0.7604537
3850	0.4253414	0.2526958	0.2533191	0.2015529	0.2020198	0.6562310	0.0104530	0.4165501	0.5318276	0.6909401
3900	0.4580395	0.1707703	0.2067247	0.2039324	0.2654997	0.7334399	0.0063926	0.2785677	0.6981555	0.8502635
3950	0.4948681	0.2447595	0.1361347	0.2197067	0.2839006	0.6268126	0.0194668	0.3121326	0.6357363	0.6339840
4000	0.4007261	0.1902521	0.1593890	0.1626072	0.2958330	0.7296731	0.0274119	0.3238211	0.5614290	0.7877050
4050	0.4767668	0.2605416	0.1944307	0.1503382	0.2863381	0.6587763	0.0084974	0.3337671	0.6235186	0.6478581
4100	0.4944866	0.3339161	0.2005229	0.1566897	0.2697210	0.7317365	0.0299470	0.3184036	0.7307504	0.7585182
4150	0.4621151	0.2639216	0.1482911	0.1623555	0.2461703	0.6782405	0.0246181	0.3194238	0.7186434	0.6578423
4200	0.4509436	0.2110512	0.1118710	0.2373647	0.2404733	0.6507252	0.0220016	0.2203704	0.5369257	0.6212406
4250	0.5412764	0.1963976	0.1765311	0.0927212	0.2306829	0.5330275	0.0102958	0.2901117	0.7337786	0.6497131
4300	0.4241957	0.3299664	0.1611160	0.1954602	0.2491346	0.7425130	0.0244619	0.2566153	0.6937013	0.6786936
4350	0.4317209	0.2037016	0.1654809	0.1705821	0.2860780	0.6965896	0.0121966	0.2908393	0.6421283	0.7224921
4400	0.4899276	0.2358040	0.1317065	0.1708683	0.2708969	0.6987985	0.0222429	0.3377333	0.7856668	0.6554478
4450	0.4310479	0.2819460	0.1806617	0.2168153	0.2257130	0.6864683	0.0128995	0.2467144	0.6232388	0.5541935
4500	0.4230796	0.1790365	0.1696803	0.1746826	0.3202934	0.7153931	0.0098231	0.3004473	0.4964590	0.6274479
4550	0.4313634	0.2861241	0.1635533	0.1407883	0.3932616	0.7417447	0.0113005	0.2230711	0.5922288	0.7853039
4600	0.3991474	0.2175060	0.1011386	0.1831166	0.1930855	0.6702499	0.0274143	0.2357631	0.4892831	0.6576781
4650	0.3855149	0.1579636	0.0896302	0.1200353	0.2158916	0.6587388	0.0053748	0.2537828	0.6220216	0.6325494
4700	0.4874456	0.2367560	0.0886005	0.1003439	0.2522203	0.6515055	0.0136090	0.2342778	0.6113525	0.6471279
4750	0.4860214	0.2281340	0.1153104	0.1430749	0.2200924	0.6799297	0.0243097	0.2994821	0.5889512	0.7696547
4800	0.4181311	0.2327687	0.1144326	0.1552394	0.2129935	0.6780637	0.0083202	0.2886627	0.6795670	0.7047108
4850	0.5410078	0.2793490	0.0833483	0.1524974	0.2246391	0.6040437	0.0123872	0.3458941	0.7044115	0.7010049
4900	0.4977887	0.2672781	0.1242591	0.1843509	0.1991560	0.7752645	0.0223862	0.3428175	0.5308077	0.5663473
4950	0.5983040	0.2952091	0.1998244	0.1164851	0.2598881	0.6776337	0.0146241	0.2725214	0.6280181	0.7568794
5000	0.4581122	0.2509554	0.2371948	0.1514542	0.2761542	0.6693382	0.0114680	0.3409543	0.6768884	0.6855609
5050	0.7294191	0.0843505	0.2251590	0.1092311	0.2661492	0.4282528	0.6690695	0.2824860	0.5540357	0.6773667
5100	0.7734285	0.0577097	0.2131961	0.1424411	0.3056397	0.2694942	0.6843125	0.2753171	0.6419752	0.5543686
5150	0.7549909	0.0366931	0.1570600	0.1970245	0.2974492	0.2293910	0.6403947	0.3226829	0.7127202	0.7080889
5200	0.7250626	0.0620464	0.1640150	0.1064885	0.2493871	0.1631525	0.7641109	0.3254749	0.7346765	0.8288777
5250	0.7391231	0.0646691	0.1498631	0.0933401	0.2807856	0.1770289	0.6421118	0.3183461	0.6350764	0.6172414
5300	0.6920790	0.0414917	0.1284224	0.0773899	0.2976319	0.1827742	0.7174182	0.2934817	0.5499171	0.7710654
5350	0.6714217	0.0459812	0.1632315	0.1074218	0.2534682	0.1750724	0.7201076	0.3255377	0.7442397	0.5994496
5400	0.6636056	0.0520746	0.1789964	0.1071304	0.2577040	0.1921721	0.7194741	0.2211041	0.7359966	0.8239085
5450	0.6343291	0.0513206	0.1287968	0.1163923	0.2859971	0.2238610	0.6872960	0.2609334	0.7126015	0.6432409
5500	0.8147662	0.0315038	0.1216061	0.0997900	0.2295426	0.2080824	0.7815785	0.3326253	0.7395350	0.6358302
5550	0.7438652	0.0302390	0.1029356	0.0717386	0.2200750	0.1342159	0.7226254	0.2927888	0.6410870	0.7046067
5600	0.7367436	0.0346182	0.0995280	0.1109153	0.2173503	0.2229159	0.6613727	0.2876746	0.6318709	0.7088610
5650	0.5932917	0.0462361	0.1023031	0.0916485	0.2285072	0.2460497	0.7141515	0.2307098	0.5810082	0.6457240
5700	0.6347190	0.0679665	0.0971692	0.0732270	0.2292401	0.1962961	0.6798602	0.2517506	0.5512519	0.7059037
5750	0.6806693	0.0496473	0.0906868	0.0890758	0.2045590	0.1903589	0.6314629	0.2162521	0.6245989	0.8298977
5800	0.7980303	0.0515924	0.0852745	0.0605219	0.2955127	0.2075658	0.6753416	0.2408080	0.5427147	0.7170658
5850	0.7035712	0.0455720	0.1381432	0.0275488	0.2276601	0.2106011	0.6409968	0.2609665	0.7034045	0.6471214
5900	0.6018516	0.0242163	0.1609269	0.0231979	0.1774620	0.1729288	0.6798974	0.3595653	0.5312077	0.6655893
