csiR	csiD	lrp	yeiL	stpA	malT	dgsA	gadE	ydeO	evgA
0.6700305	0.0002116	0.0001341	0.0012869	0.2393351	0.0210008	0.6549880	0.0151782	0.3141323	0.2729177
0.0645808	0.5013457	0.6195120	0.6197836	0.5289101	0.4226191	0.6408659	0.2761912	0.5053742	0.3618249
0.3864608	0.6456337	0.2934016	0.2347073	0.3314037	0.6674361	0.6431058	0.5447264	0.6135997	0.4608986
0.1975735	0.7603382	0.3364743	0.4118388	0.4767100	0.4763133	0.5047034	0.6451423	0.6074009	0.7300934
0.6660037	0.0060581	0.3992009	0.7187480	0.4083447	0.6379224	0.0000000	0.2715945	0.8112450	0.7738865
0.3692995	0.0321043	0.5550050	0.4111856	0.6797251	0.7669869	0.0000000	0.1303971	0.0238709	0.0417561
0.7109829	0.0005337	0.2696437	0.2026537	0.3058506	0.6158399	0.5110734	0.5083881	0.5218196	0.5809864
0.7246450	0.0231756	0.4578938	0.4037131	0.6164605	0.2294247	0.7447122	0.8100086	0.6271123	0.7347023
0.5856974	0.0188371	0.2387938	0.1632015	0.7619194	0.7727799	0.8551390	0.5686756	0.5404380	0.6550637
0.7010219	0.4367660	0.1458550	0.0807690	0.6419243	0.2718300	0.3379626	0.2618221	0.7121786	0.8016835
0.2106912	0.0566942	0.3372177	0.6611947	0.4983150	0.7070663	0.0000000	0.6451848	0.5620927	0.6706644
0.0000000	0.0004903	0.0026906	0.2603968	0.0798676	0.5595825	0.6448752	0.0055251	0.7306080	0.1417367
0.5461168	0.2531734	0.0873841	0.0576502	0.3130456	0.1977874	0.6789386	0.1869953	0.5846315	0.6493716
0.6872871	0.0001337	0.1294575	0.0225328	0.1549489	0.2179858	0.5871697	0.2625310	0.6995543	0.7007848
0.7138167	0.1027402	0.3699700	0.8438360	0.6573154	0.1923335	0.6822153	0.7251506	0.5778007	0.6036154
0.6737009	0.0096595	0.6391572	0.5441463	0.5685742	0.6858645	0.6002891	0.3713101	0.0000000	0.0000000
0.7985431	0.6750829	0.3697580	0.2257432	0.3859437	0.5713105	0.7078641	0.6002360	0.6365480	0.7443305
0.6369394	0.6334095	0.4507962	0.4107236	0.4258892	0.2166031	0.5931376	0.3966066	0.6637746	0.5333123
0.0994330	0.1265228	0.2780054	0.2186088	0.5721363	0.7278195	0.0955759	0.2138275	0.6563637	0.6941444
0.5744075	0.0005557	0.1181732	0.6608544	0.1430534	0.2052519	0.6224843	0.3154235	0.5444237	0.4623305
0.7498313	0.0123734	0.5326697	0.5389611	0.5412178	0.6874511	0.2919778	0.6865602	0.6152990	0.6729907
0.6055708	0.0007227	0.0877659	0.0470064	0.2517847	0.4446313	0.1406052	0.1945941	0.6101128	0.6198629
0.6957080	0.2471150	0.0776244	0.0160875	0.1273381	0.3182490	0.7566767	0.2339149	0.6237565	0.3379132
0.6888797	0.0085852	0.5999929	0.5965177	0.5785424	0.1855805	0.7765683	0.3869748	0.6766710	0.5923502
0.4618891	0.5290795	0.4778382	0.5262981	0.5007691	0.4734661	0.1448380	0.4987619	0.7074836	0.5372467
0.6427534	0.5711055	0.4897457	0.7691769	0.4245994	0.1982291	0.6048633	0.2801313	0.4904261	0.6136259
0.6824414	0.1063602	0.3256565	0.3275709	0.6351419	0.3977441	0.2182154	0.2746333	0.6740520	0.6496940
0.6733118	0.0137831	0.6647708	0.5618106	0.4763797	0.1720523	0.6353350	0.2888453	0.6111305	0.7220341
0.6630164	0.0045959	0.3312024	0.3469217	0.6563834	0.4726826	0.1853787	0.4272256	0.4675400	0.6478083
0.6975264	0.0075041	0.6136277	0.5049919	0.4226455	0.3241739	0.9259645	0.2513258	0.7915584	0.8149951
0.7327867	0.2116455	0.0988261	0.7424351	0.2461457	0.4276489	0.4533025	0.2610263	0.6284177	0.6480729
0.6905664	0.7512374	0.5118946	0.6779803	0.7751150	0.5248753	0.3724956	0.2764137	0.7208869	0.8017392
0.3254050	0.1342699	0.1335673	0.0777046	0.7319250	0.2027872	0.5519150	0.2518973	0.4756110	0.7276605
0.7661122	0.5783148	0.4633908	0.6413609	0.4967101	0.3021405	0.6524371	0.0860678	0.6512295	0.3324972
0.6796303	0.0009701	0.0968419	0.7114539	0.2139205	0.2872882	0.6150408	0.0048881	0.0705012	0.0708865
0.7433845	0.0001363	0.1413732	0.2746734	0.4559033	0.1846765	0.7283051	0.3012366	0.8136127	0.5218861
0.6171506	0.0113750	0.6910010	0.6037809	0.6324977	0.2495472	0.5399172	0.2772335	0.4614428	0.2852545
0.6977858	0.0064524	0.4263432	0.6345835	0.6036897	0.5724636	0.0000000	0.3761160	0.5871355	0.8022334
0.8737018	0.7065004	0.1334976	0.0720260	0.2449515	0.1727046	0.5143606	0.1488363	0.5439129	0.6379890
0.7421097	0.4540694	0.2164503	0.2532903	0.2636317	0.5873070	0.1495764	0.4761688	0.6738737	0.6602185
0.5296649	0.0154014	0.4132485	0.3897981	0.5583908	0.3430521	0.2441498	0.0001709	0.0075985	0.0635011
0.2196447	0.6480595	0.4794398	0.3228137	0.3632987	0.1762312	0.6113505	0.0015208	0.0299015	0.0489281
0.6646127	0.3143161	0.0000000	0.0005931	0.0534466	0.0835538	0.1137365	0.0000000	0.0000000	0.0000000
0.5735384	0.0016496	0.0510696	0.0071638	0.1188444	0.7280566	0.7647614	0.1338955	0.8388871	0.4730402
0.0530052	0.1548043	0.1475517	0.4887088	0.4865653	0.2988497	0.5325704	0.3215277	0.6096572	0.7041757
0.6521475	0.1232609	0.6898459	0.7027922	0.4689072	0.6066501	0.8099100	0.2672530	0.6670583	0.6748158
0.7765178	0.0001373	0.1188670	0.0828603	0.1458789	0.1851679	0.6885358	0.1903961	0.4995687	0.6559157
0.4991809	0.2233875	0.2669718	0.6574105	0.4529675	0.5512301	0.2118347	0.5477161	0.5889199	0.6369549
0.5908150	0.0002554	0.0887181	0.0175423	0.1862885	0.1971377	0.6795131	0.2575724	0.6389105	0.6385325
0.7098160	0.0084259	0.4219726	0.5692370	0.5090385	0.3598462	0.4123750	0.3137211	0.1379132	0.0000000
0.6918083	0.5402725	0.2160593	0.3966061	0.2659320	0.7631969	0.0000000	0.3488225	0.6090619	0.5547463
0.7855920	0.0008313	0.1338960	0.0191030	0.1661708	0.1527824	0.5499764	0.1654735	0.7153750	0.5474194
0.1190175	0.1473387	0.3069088	0.6135078	0.4570197	0.1707853	0.7131589	0.4457637	0.7130903	0.7785583
0.7395497	0.0069363	0.2180471	0.1005623	0.6588553	0.6644543	0.5900208	0.2398390	0.6769857	0.6002982
0.2312401	0.6167071	0.0393322	0.0128839	0.0542493	0.7187202	0.8244106	0.0813652	0.7577752	0.0000000
0.0000000	0.6118191	0.3355390	0.2968093	0.5253650	0.3599990	0.2876484	0.5819563	0.5190883	0.6201752
0.7295788	0.0112155	0.4177782	0.3605180	0.5267873	0.6319473	0.3359392	0.0000000	0.0000000	0.0000000
0.6919322	0.2299247	0.5108830	0.4344680	0.4579731	0.7680692	0.0000000	0.3380241	0.7534388	0.6495138
0.6570117	0.6161511	0.3310836	0.6969480	0.3181640	0.8593694	0.2656049	0.5771831	0.7136888	0.6311346
0.4962640	0.5301145	0.0940818	0.5531174	0.6352934	0.4927784	0.3643481	0.1546960	0.7018457	0.6082791
0.3341491	0.0034377	0.1711275	0.1071427	0.6456880	0.3971264	0.2991843	0.2587072	0.0000000	0.0000000
0.4175569	0.0295663	0.5758821	0.6281930	0.5183100	0.3450057	0.4488521	0.7103918	0.0000000	0.0000000
0.1740792	0.7381949	0.1605229	0.0573399	0.2953560	0.3774287	0.3379548	0.0005295	0.2095051	0.1776718
0.7611656	0.0060041	0.3840901	0.4200960	0.6630264	0.7097783	0.0000000	0.7683005	0.5389560	0.6873764
0.7792050	0.6468452	0.3164214	0.3723896	0.3610094	0.5403871	0.2066406	0.7345642	0.6479578	0.8044253
0.5736127	0.0037207	0.1522315	0.0815778	0.2912650	0.2712532	0.3872449	0.2498685	0.7074753	0.8143745
0.0000000	0.5116598	0.2468135	0.1766588	0.3728480	0.5639411	0.6426921	0.2570259	0.2304988	0.1489895
0.0000000	0.0005261	0.0004701	0.0008622	0.0823718	0.4894049	0.6368531	0.0042676	0.6265252	0.2844976
0.6163931	0.8232726	0.4285028	0.7136186	0.6632130	0.5308128	0.0979255	0.5076802	0.6081026	0.5869188
0.7152696	0.0556058	0.4998423	0.5546048	0.4039054	0.5606616	0.0000000	0.2467249	0.5988271	0.7052276
0.5870512	0.4936795	0.5561177	0.5952263	0.5479620	0.1259597	0.7405704	0.1972289	0.5736783	0.9223619
0.6566945	0.0864292	0.6746377	0.5242357	0.5288224	0.6695245	0.6070580	0.2067201	0.6924667	0.7747192
0.5960614	0.2402254	0.3195761	0.2971386	0.3958294	0.3341159	0.7050244	0.0000000	0.0000000	0.0000000
0.2293736	0.5822765	0.6245209	0.6257216	0.6590583	0.6780437	0.5906309	0.0656126	0.4535074	0.4468813
0.6918564	0.0397149	0.2428155	0.6012889	0.5132376	0.6241107	0.6054932	0.0145919	0.5144341	0.3035734
0.0000000	0.1490042	0.2099246	0.4092442	0.3054323	0.3992134	0.1061533	0.3588959	0.5934734	0.5942274
0.3573326	0.0441323	0.1683083	0.3589786	0.3358089	0.2012877	0.8242218	0.0008229	0.1267633	0.1086837
0.4094790	0.0681323	0.1758912	0.4985696	0.5201749	0.6028798	0.0000000	0.2591990	0.2929338	0.2198933
0.5887379	0.0106794	0.2586709	0.7030980	0.3027352	0.4902154	0.6445642	0.4587241	0.6025897	0.7785752
0.6154815	0.6027556	0.4512790	0.4287602	0.4763131	0.4753969	0.2129111	0.0000000	0.0000000	0.0000000
0.7847156	0.3144097	0.2278857	0.3997626	0.5580126	0.1259475	0.7562805	0.4552783	0.6730264	0.7306894
0.7649348	0.6910324	0.0597228	0.0069748	0.2813563	0.2892673	0.6779861	0.1235986	0.0000000	0.0000000
0.7756494	0.0026171	0.2288853	0.2503507	0.2306870	0.2530803	0.7654623	0.4101316	0.6100395	0.2749143
0.6365688	0.3087641	0.1575101	0.1353710	0.2664195	0.4236686	0.5931572	0.0964518	0.5472199	0.4567628
0.6232108	0.0002531	0.1351778	0.1153916	0.7151193	0.1754938	0.6701313	0.3668603	0.7589840	0.3799698
0.7817951	0.0036970	0.1596536	0.0514031	0.3283638	0.1949331	0.7884491	0.0719628	0.5167719	0.4679877
0.6956382	0.5395778	0.5279916	0.3800017	0.5002704	0.4190155	0.4455326	0.6738527	0.5674997	0.7869957
0.6835049	0.4239502	0.1431595	0.6690336	0.3254974	0.1661433	0.6195072	0.3570753	0.8157022	0.6903988
0.6487712	0.4296586	0.1003110	0.3181565	0.4782921	0.5700698	0.5927312	0.2398076	0.6428925	0.7187178
0.7166284	0.0160835	0.5170501	0.5692974	0.5059143	0.2843284	0.2968211	0.3757504	0.5962575	0.6893628
0.6147143	0.0108448	0.3420883	0.7815051	0.5247099	0.4943863	0.7744937	0.5849797	0.5622292	0.6009209
0.6219026	0.1853617	0.0191525	0.0005896	0.0248844	0.1103403	0.5749765	0.1094647	0.5245230	0.0000000
0.5855392	0.0099667	0.7317577	0.7088010	0.6653551	0.4545544	0.6707787	0.7300189	0.5223910	0.7112910
0.5093196	0.0024863	0.5110322	0.6073283	0.4156510	0.3430794	0.3333607	0.2758497	0.7390848	0.6249214
0.6003734	0.5870407	0.6886724	0.6947394	0.5763162	0.2212498	0.5521106	0.3557643	0.0000000	0.0000000
0.2950774	0.0376969	0.1617881	0.3457363	0.2718045	0.6307279	0.0000000	0.3904118	0.7384082	0.6939426
0.4856554	0.0269912	0.3159510	0.3987137	0.3744775	0.5962684	0.4030407	0.2037944	0.4160199	0.0815413
0.4354867	0.0099469	0.2647025	0.2942104	0.2866590	0.3233783	0.5612097	0.0102275	0.3403013	0.3167755
0.6177900	0.0005698	0.1097098	0.0255241	0.7116709	0.4376004	0.4724588	0.2510422	0.7028465	0.7412844
0.6463044	0.0098061	0.2165022	0.3235660	0.2578915	0.2277425	0.4810211	0.5010558	0.2924618	0.0000000
0.6087899	0.6816674	0.0842653	0.6377259	0.1179264	0.6594825	0.0258717	0.2176514	0.4931823	0.7104242
0.0000000	0.6387050	0.4877736	0.4282409	0.4172929	0.3657023	0.6033842	0.7499673	0.5353463	0.0000000
0.7759566	0.2763092	0.4559269	0.4419262	0.5267254	0.6418065	0.6058296	0.6022270	0.6175206	0.4865073
0.7137706	0.0049251	0.1475164	0.0803777	0.6434302	0.6767722	0.1716533	0.2617620	0.6460405	0.6541356
0.2015038	0.0455000	0.2415142	0.1996527	0.6050273	0.2225543	0.4665404	0.3464035	0.5475218	0.5834990
0.7225101	0.6032684	0.7326911	0.6458597	0.4717401	0.1977117	0.6492704	0.4185686	0.5801449	0.6265962
0.7600795	0.1863534	0.4460366	0.4279136	0.7753504	0.5142321	0.0538696	0.0000000	0.0000000	0.0000000
0.6732986	0.2572679	0.6053315	0.6907686	0.6516541	0.6090139	0.0000000	0.0283427	0.4743020	0.2622132
0.0000000	0.6794328	0.2765001	0.3033234	0.4565313	0.7305173	0.0000000	0.6235087	0.6218004	0.6990506
0.2713502	0.3716801	0.2309339	0.2847754	0.4014620	0.1402980	0.7199693	0.3300206	0.6583517	0.6350734
0.0266604	0.5082593	0.5983213	0.3614635	0.4875075	0.6211842	0.1356654	0.3257109	0.7427888	0.4995955
0.4163145	0.0672622	0.3212454	0.2643996	0.4839925	0.6229248	0.0174211	0.6096743	0.5903935	0.6030759
0.2708403	0.0054411	0.0934438	0.0527038	0.2215673	0.2059719	0.5291916	0.2512433	0.5886401	0.6308935
0.5175397	0.0002667	0.0613568	0.0264078	0.1611433	0.5434545	0.6642125	0.0023432	0.2754203	0.2126012
0.8302291	0.1542454	0.3723988	0.6305810	0.5581795	0.2205632	0.6517218	0.2333419	0.5559040	0.8382261
0.0675794	0.6415752	0.4884250	0.4701415	0.5530063	0.6040446	0.0262286	0.2081714	0.6988437	0.6277717
0.4704676	0.3723027	0.3577561	0.4420334	0.4557135	0.6624462	0.5241676	0.7251168	0.0009410	0.0651296
0.4726997	0.0000000	0.0000000	0.0000000	0.0865312	0.2375450	0.6373943	0.0000000	0.0000000	0.0000000
0.2258605	0.5291949	0.3695918	0.3655283	0.4176453	0.4557913	0.6370425	0.4491639	0.4431201	0.2508263
0.0000000	0.6795124	0.3241387	0.3301393	0.7694790	0.2143608	0.6098488	0.3083638	0.2114681	0.1593063
0.0000000	0.2026304	0.2628133	0.2537074	0.7175921	0.4372460	0.7550549	0.3257230	0.7869101	0.6858008
0.6820333	0.0011559	0.3917214	0.7540669	0.3635423	0.6678884	0.0000000	0.5465099	0.5344022	0.6808314
0.6186530	0.1043097	0.1085574	0.0285007	0.6262909	0.4411004	0.5131772	0.1861417	0.6544952	0.7999345
0.6129773	0.0021601	0.1047312	0.0235970	0.2115293	0.1406807	0.6589473	0.2920975	0.6125188	0.6797353
0.5298351	0.5941448	0.2353905	0.1981603	0.4290376	0.3650711	0.3882895	0.2339968	0.4490308	0.4569163
0.4605753	0.0190547	0.7505083	0.4818124	0.5878999	0.4803752	0.4090616	0.1673836	0.5060425	0.6890359
0.8071970	0.0097310	0.4330500	0.3645859	0.6360327	0.1979674	0.7316726	0.5272325	0.5301648	0.4837804
0.1215684	0.0179216	0.1293142	0.6773564	0.2139718	0.6085598	0.6832882	0.2049595	0.6479901	0.5833317
0.7158920	0.0328980	0.4692006	0.7750676	0.5495322	0.6591714	0.6454615	0.0319924	0.5395771	0.3533057
0.5440661	0.2013235	0.3253325	0.3399434	0.3951101	0.2094396	0.6579841	0.3633678	0.7027351	0.8126705
0.5983761	0.0083730	0.3712846	0.3726713	0.4391421	0.2535909	0.7156845	0.7295644	0.7507154	0.6459366
0.1623300	0.1084259	0.0863706	0.3127162	0.1826214	0.6926805	0.0000000	0.1969805	0.6448990	0.7012150
0.6264220	0.0005341	0.3291721	0.2202198	0.3769863	0.2996905	0.6356998	0.4304551	0.7095966	0.6201523
0.6944482	0.0050669	0.2655364	0.2434142	0.2889363	0.3322901	0.6765070	0.5066424	0.3899210	0.2586370
0.7787858	0.2115216	0.2262471	0.5292647	0.5983591	0.1557771	0.7556365	0.0422687	0.5932671	0.4298582
0.7064069	0.8337688	0.4898132	0.5089418	0.7503852	0.7162051	0.0000000	0.4079036	0.4981388	0.6447556
0.6433339	0.6056272	0.5368650	0.7170315	0.5962375	0.3953115	0.5600210	0.6569118	0.6130236	0.7397015
0.2528381	0.3871502	0.3490444	0.3648446	0.5994496	0.2209384	0.4199909	0.2577442	0.5016140	0.6432872
0.7674937	0.0044482	0.3837882	0.2880522	0.5676984	0.2176837	0.7323063	0.6522179	0.7057492	0.7822954
0.3920254	0.2841997	0.0533384	0.2476343	0.1711910	0.6549200	0.7885228	0.1250049	0.7418432	0.4713451
0.6021018	0.0066492	0.2129809	0.4747421	0.4300593	0.5886992	0.1094278	0.4287283	0.0993125	0.0000000
0.3778287	0.0698216	0.0408608	0.0286843	0.7134233	0.2574245	0.2146909	0.0934984	0.0000000	0.0000000
0.3191724	0.0075886	0.2180917	0.4493321	0.5691164	0.1875096	0.6552285	0.2782809	0.0000000	0.0000000
0.6167898	0.5784074	0.3610290	0.4101600	0.4540927	0.4563470	0.2276681	0.5101144	0.4809404	0.6518112
0.0000000	0.2745021	0.2848821	0.2505763	0.4149280	0.2333432	0.5997896	0.5613487	0.6329380	0.7594553
0.7057127	0.3906017	0.6927200	0.5377693	0.6122482	0.1752394	0.6451971	0.4284906	0.5903327	0.5488856
0.7344275	0.6156065	0.2347799	0.1364711	0.3204538	0.2189672	0.7121717	0.5584029	0.6914822	0.6756790
0.6816124	0.0838027	0.1971896	0.2639811	0.2784607	0.2248010	0.6248127	0.4198814	0.5193920	0.6355277
0.6560657	0.0040867	0.3191439	0.3180167	0.5977054	0.5573128	0.6279248	0.2313346	0.6776652	0.7047012
0.8076383	0.8021635	0.5028681	0.6695859	0.4910165	0.1561231	0.6272723	0.6872876	0.4540473	0.7273806
0.2395634	0.2307288	0.2039310	0.1655996	0.2720122	0.2100946	0.6423151	0.2233604	0.6775332	0.6680917
0.5518789	0.0936953	0.0316230	0.4807873	0.5884022	0.3711442	0.2225502	0.1159111	0.6213059	0.3673850
0.2141930	0.3611886	0.5280610	0.4774414	0.5194792	0.4438955	0.4471739	0.3336896	0.6408579	0.7019597
0.6901742	0.0016940	0.1235081	0.1311806	0.5122877	0.6390134	0.8999231	0.3709715	0.5936286	0.6782189
0.4014294	0.7293875	0.0429409	0.3462493	0.4756534	0.2996246	0.2030101	0.2056988	0.6689692	0.5219825
0.4068109	0.0109015	0.0004501	0.0012537	0.0023895	0.3511381	0.1828129	0.0001545	0.1902277	0.1271549
0.5477299	0.0245815	0.4042126	0.3758199	0.5946821	0.3487787	0.6665798	0.7287718	0.7711200	0.6798801
0.8771446	0.7540665	0.2839644	0.2266002	0.4010800	0.1859772	0.6780339	0.0564538	0.1095534	0.1163309
0.7368516	0.0082494	0.5869598	0.6109287	0.6074017	0.6024762	0.7116115	0.4582497	0.4611571	0.6350939
0.6005676	0.0148445	0.3877707	0.3961402	0.4851615	0.4489830	0.1412921	0.6893736	0.5076455	0.6926017
0.7409415	0.0014060	0.1946307	0.5591636	0.2796173	0.4303562	0.6461632	0.4017652	0.5706763	0.7887202
0.7687837	0.0062812	0.3264978	0.3411735	0.4802877	0.6936203	0.4832887	0.5125523	0.6876891	0.6191841
0.6326325	0.6244873	0.1126874	0.0646551	0.2686523	0.5601412	0.2411595	0.2981219	0.6366556	0.7550613
0.7784783	0.0000113	0.0278628	0.0053642	0.0444993	0.1585211	0.8212672	0.0497875	0.6780074	0.5010730
0.1963607	0.4709115	0.3037101	0.6534955	0.5078523	0.5351033	0.0000000	0.0006926	0.3326730	0.1092919
0.5972158	0.0023279	0.0490909	0.0012685	0.1105907	0.3529107	0.6191827	0.1032195	0.6233817	0.3946753
0.5719638	0.0281695	0.4607500	0.3935344	0.4077642	0.2397209	0.6250315	0.4511872	0.2277883	0.1392548
0.2758955	0.0137139	0.1096870	0.0348409	0.2596283	0.4461374	0.1971146	0.2431752	0.4323588	0.5600423
0.4554326	0.0675442	0.0000000	0.0000000	0.0000000	0.0892775	0.2777926	0.0000000	0.0000000	0.0000000
0.7280600	0.2587637	0.3725154	0.4958076	0.3677903	0.6824929	0.0000000	0.6005954	0.3903436	0.3676338
0.6703807	0.0054550	0.5433926	0.6310457	0.6200747	0.7004255	0.0000000	0.2581517	0.6584988	0.7025484
0.7751151	0.6268029	0.1740717	0.1271978	0.2171496	0.1577760	0.7204609	0.3798976	0.5285614	0.6916904
0.7172402	0.0066850	0.2744169	0.1505858	0.7520893	0.1972292	0.6540285	0.5088869	0.6227196	0.5934313
0.3198707	0.0183535	0.3945928	0.4403493	0.3722566	0.6814859	0.0437649	0.1940635	0.6136619	0.6749650
0.5076541	0.1109347	0.6126222	0.6650278	0.5069914	0.2464137	0.5746867	0.2129207	0.6589826	0.6823368
0.6600697	0.0084125	0.2686201	0.2966181	0.3825537	0.6811311	0.0000000	0.5898914	0.4422426	0.5316243
0.5666139	0.5702400	0.0364105	0.4565676	0.0526721	0.1808830	0.8765768	0.0701543	0.6483938	0.4340324
0.7674337	0.2539186	0.1019349	0.6900438	0.5209304	0.6858987	0.0000000	0.2632683	0.4341023	0.2790769
0.7578282	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
0.6097943	0.0007756	0.0701493	0.0064470	0.2067408	0.6040797	0.0836653	0.2501023	0.6275258	0.6905757
0.2463957	0.4280724	0.6171927	0.4567517	0.4396970	0.3789423	0.7232218	0.2921363	0.6206017	0.8183666
0.6180514	0.0095743	0.3307404	0.5041836	0.4258131	0.7349153	0.7593778	0.3049532	0.6377979	0.5975246
0.7168045	0.0002300	0.0241242	0.0496491	0.2015167	0.4204290	0.0185545	0.1039902	0.5298405	0.5713852
0.5040481	0.0825668	0.3452945	0.5286262	0.4317665	0.1433523	0.7292667	0.7355842	0.5245162	0.6281362
0.7058436	0.0073380	0.6923876	0.6232961	0.4892603	0.1741358	0.5728188	0.2079725	0.5874722	0.8009689
0.2592877	0.2997979	0.5324877	0.6880416	0.4228234	0.2588942	0.7111895	0.7710796	0.5119934	0.7155558
0.0090969	0.6176827	0.5315810	0.5419723	0.6990847	0.1650215	0.6837086	0.3700354	0.5627655	0.6814482
0.5437070	0.2085322	0.3228261	0.1981346	0.6698623	0.3059447	0.3941177	0.4650709	0.5179762	0.4326116
0.6510749	0.3297009	0.6645129	0.6576702	0.4711586	0.3844745	0.6876098	0.7478250	0.4607395	0.0000000
0.7176114	0.0000033	0.0165171	0.2260662	0.5812743	0.0475954	0.7594000	0.0530635	0.5560919	0.3362504
0.0305784	0.6179028	0.4290846	0.7267582	0.3405057	0.2074161	0.6855623	0.6187908	0.7633960	0.7388746
0.0000000	0.6397251	0.6890629	0.5884838	0.5262017	0.1487243	0.6591031	0.3802600	0.6180027	0.6478677
0.2659501	0.6044985	0.1980866	0.5721957	0.3726529	0.2599587	0.7745706	0.5658009	0.5551234	0.0000000
0.5562014	0.0000471	0.0000000	0.0000970	0.0109134	0.5947349	0.6541880	0.0000000	0.0000000	0.0000000
0.6612771	0.6786769	0.6707687	0.5539090	0.5603008	0.3137208	0.7135684	0.6521314	0.3904441	0.3838474
0.7128022	0.0081606	0.3925616	0.3199607	0.5876142	0.1861670	0.7043911	0.0263443	0.0000000	0.0000000
0.5993921	0.4159882	0.4445245	0.5280048	0.3124547	0.4626157	0.7132542	0.6973456	0.3650819	0.3410723
0.5675568	0.0181369	0.5959212	0.4896849	0.4664621	0.2365771	0.6957761	0.2992795	0.6584637	0.7656754
0.4863820	0.0254081	0.4859896	0.5809168	0.4014879	0.2380814	0.5923999	0.2725881	0.5835153	0.7304390
0.6742680	0.2610672	0.0870873	0.1909646	0.1585076	0.6707330	0.4511382	0.2126131	0.4846747	0.6701261
0.4165832	0.0640634	0.6486904	0.6934742	0.5383817	0.1891563	0.6752790	0.7602627	0.6037476	0.6525508
0.6553091	0.0020191	0.2702012	0.1903309	0.4556665	0.1741272	0.7177097	0.3154457	0.6495296	0.6614070
0.7036282	0.7963685	0.6511152	0.5741405	0.6034889	0.2668709	0.6350893	0.0000000	0.0000000	0.0000000
0.3952688	0.0528490	0.7104816	0.6792793	0.5446437	0.6040255	0.2708596	0.0727684	0.5672904	0.4312506
0.6739509	0.0001410	0.0428972	0.3753613	0.1229558	0.2600517	0.4899782	0.0440362	0.2939036	0.1875116
0.0000000	0.3403702	0.1893951	0.2146089	0.5559385	0.2045472	0.7486699	0.1568128	0.6660827	0.2487928
0.5503473	0.0003759	0.1033661	0.0954974	0.2794408	0.3249687	0.6666642	0.2794900	0.7197944	0.7342898
0.8867154	0.2445108	0.4093647	0.3471639	0.6149636	0.5813906	0.6512542	0.0000000	0.4844534	0.0000000
0.5061741	0.0024363	0.1126949	0.1246210	0.5308803	0.2606977	0.3085189	0.1164374	0.5644893	0.5134621
0.5463540	0.0067298	0.5629260	0.4643638	0.3934276	0.2489578	0.6825718	0.2935198	0.5151244	0.7868472
0.1246936	0.1639380	0.0153452	0.0004874	0.0174440	0.1153177	0.3851712	0.0217992	0.6124811	0.2983985
0.0000000	0.3836620	0.4276496	0.3564324	0.4421682	0.4978346	0.5499247	0.2319323	0.8549764	0.6197534
0.5426158	0.1871050	0.5385167	0.4623216	0.4919958	0.2237295	0.8034908	0.0383230	0.5546375	0.3792016
0.6738277	0.2464114	0.4538444	0.5122924	0.5578109	0.3342237	0.3540265	0.4363552	0.6923408	0.7890880
0.6791083	0.0007072	0.1083931	0.7391106	0.2573667	0.1873884	0.6901407	0.2306575	0.5049030	0.6759767
0.7721915	0.0211975	0.6308885	0.6635727	0.5119068	0.2485812	0.7114647	0.7265263	0.6361820	0.6236665
0.6228126	0.3521544	0.3822945	0.4116453	0.3477895	0.6897678	0.0000000	0.7323554	0.5321902	0.4923928
0.6802014	0.2607285	0.2783493	0.1337473	0.3505608	0.5455835	0.6051448	0.3766660	0.6791499	0.6727508
0.5878394	0.0002381	0.1203522	0.0547108	0.2911045	0.2729246	0.5974058	0.2217155	0.5406876	0.8111302
0.6989269	0.0344980	0.7345773	0.6406925	0.5935625	0.5432028	0.0000000	0.0000220	0.0147093	0.0630023
0.6677842	0.0131636	0.3196756	0.2197270	0.3777999	0.1393917	0.7496924	0.1450683	0.5601976	0.6593729
0.1178736	0.5504713	0.3127463	0.2863556	0.4608930	0.2583289	0.6353830	0.4257865	0.6496238	0.6707124
0.8184562	0.0231603	0.3244239	0.5907362	0.3783812	0.5052236	0.6563422	0.1463732	0.3363656	0.2720336
0.6216106	0.0191783	0.6980128	0.5179312	0.5405416	0.4738758	0.5493236	0.1718550	0.5854950	0.8241446
0.0000000	0.6739715	0.5369946	0.6356683	0.5439330	0.5082495	0.5330264	0.2469588	0.0713656	0.0883834
0.7638741	0.3267954	0.2793056	0.4734368	0.7592823	0.2498603	0.5469304	0.5105191	0.6455586	0.7496328
0.4000332	0.0258782	0.5065210	0.3663414	0.4288386	0.2763487	0.5811322	0.8185385	0.5056434	0.6900953
0.7670778	0.0112099	0.4129914	0.6696196	0.4832338	0.6987195	0.0000000	0.4789295	0.7322381	0.5262762
0.5981965	0.2226120	0.1737317	0.0903660	0.6869779	0.2339405	0.3452975	0.2889120	0.6698207	0.6108762
0.1866848	0.0077502	0.0415934	0.0075816	0.0902089	0.3774000	0.1198445	0.0692112	0.5045208	0.0912517
0.5687426	0.3680586	0.0680679	0.0236207	0.1832031	0.4793549	0.0965205	0.1443976	0.5323936	0.6348745
0.6482909	0.0081776	0.5023183	0.4822598	0.4741232	0.7978156	0.0000000	0.2117614	0.6424984	0.7318107
